Source_ID,Station_ID,Latitude,Longitude,Elevation,Station_Name,Station_State,Station_FIPS,Country,Data_Policy,WMO_ID
221,AFWA-013761,60.7830000,10.2000000,160.00, "FLUBERG" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-013801,61.1670000,9.9670000,816.00, "KITTILBU" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-013910,60.6170000,12.0170000,188.00, "FLISA" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-014141,59.5830000,5.5000000,22.00, "ALFJORDEN" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-014211,59.8500000,6.0000000,24.00, "INDRE MATRE" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-014301,58.6670000,6.7170000,55.00, "TONSTAD" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-014321,58.9670000,6.9330000,568.00, "FIDJELAND" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-014401,59.1000000,7.5000000,443.00, "HYLESTAD-BROKKE" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-014412,59.5500000,7.3670000,765.00, "HOVDEN" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-014451,59.3670000,8.0500000,401.00, "SKAFSA" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-014771,59.6670000,9.6500000,169.00, "KONGSBERG IV" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-014781,58.9830000,9.7670000,6.00, "LANGOYTANGEN (LH)" ,"  ",NO," ","WMO Resolution 40","     ",
221,AFWA-020430,67.9330000,21.0670000,341.00, "ESRANGE" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-020881,67.0830000,22.2170000,263.00, "KOMPELUSVAARA" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-021221,66.5330000,17.6670000,454.00, "STENUDDEN" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-021291,64.9670000,17.7000000,278.00, "GUNNARN SOL (AUT)" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-021411,66.3670000,19.2830000,470.00, "NAUSTA (AUT)" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-021431,58.9330000,11.1670000,18.00, "STROMSTAD" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-021561,65.3000000,20.2170000,250.00, "MYRHEDEN" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-021643,56.6830000,14.9500000,167.00, "URASA (SWE-AFB)" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-022002,64.0500000,12.9500000,425.00, "BJORKEDE" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-022121,66.6830000,18.8170000,421.00, "KARATS" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-022180,63.3170000,13.6500000,400.00, "MORSIL" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-022240,63.7670000,14.4330000,475.00, "FOLLINGE-VAGSKALET" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-022271,65.8500000,23.1330000,7.00, "KALIX" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-022301,64.5670000,15.9170000,401.00, "HOGLAND" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-022361,63.7500000,15.4670000,341.00, "HALLVIKEN" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-022480,63.1670000,16.1670000,223.00, "KRANGEDE" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-022580,65.8170000,16.7170000,352.00, "VINDEL-BJORKHEDEN" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-022581,63.0000000,17.7670000,6.00, "NYLAND" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-022660,64.5830000,16.8500000,349.00, "VILHELMINA (AUTO)" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-022700,64.9170000,19.4670000,301.00, "NORSJO" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-022761,63.5670000,19.5000000,5.00, "NORDMALING" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-023041,61.8500000,12.2670000,670.00, "FLOTNINGEN" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-023230,62.5330000,14.2000000,550.00, "KLOVSJO" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-023460,61.7830000,16.5500000,90.00, "DELSBO" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-024021,59.8670000,11.9670000,130.00, "SKILLINGMARK" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-024071,58.4830000,12.4830000,100.00, "GALLEUDDE" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-024091,59.0500000,12.7000000,60.00, "AMAL" ,"  ",SW," ","WMO Resolution 40","     ",
